/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_22-07-19-18-37/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1040 | return=26.64 | steps=65 | track=e0c2ced017edcdd0d313a77808b763c5
global_step=2080 | return=-171.69 | steps=130 | track=e362835eeef53b97780065a7786d5d09
global_step=2080 | return=-153.72 | steps=130 | track=48af343193121bf1f1b57578612d7ca9
global_step=2096 | return=-150.81 | steps=131 | track=2bf5bfdd983861b191223238c401e3cc
global_step=2096 | return=-143.80 | steps=131 | track=f8c0ebea328207d6581a5da397da3f69
global_step=2096 | return=-145.40 | steps=131 | track=5cf6eb1c77e0d05008868754f083bc93
global_step=2096 | return=-139.98 | steps=131 | track=a60ab9f3c1b17c9fffa55e0485e54782
global_step=2096 | return=-157.37 | steps=131 | track=c065dc863bcaa28b348a5195853772a5
global_step=2096 | return=-140.46 | steps=131 | track=3b5bc67583471a294c42212c7f5bbe18
global_step=2096 | return=-146.72 | steps=131 | track=f6268007da9cf1665a031604d8e28c2b
global_step=2096 | return=-142.19 | steps=131 | track=28891db228b44aac5dd0842000640d8a
global_step=2272 | return=-100.86 | steps=142 | track=2208ef96dc1a1a98d34eb1d1ff04f265
global_step=2384 | return=-79.91 | steps=149 | track=0476d552d52f0b74be876ea217fb4996
global_step=2480 | return=-35.95 | steps=155 | track=27a0b4a30efcb389f195702f84547dba
global_step=3184 | return=-0.67 | steps=67 | track=0fb4d4e7251d2465b09e12f08af2030f
global_step=3472 | return=-26.34 | steps=61 | track=0f52402fe443c73070aaba652adbe33e
global_step=3920 | return=-160.03 | steps=179 | track=c0cbb67e6d5fa8f0e7a26da8c24e40d6
global_step=4192 | return=-144.79 | steps=131 | track=eb45432073e6888c726e2e8d366257de
global_step=4192 | return=-157.39 | steps=130 | track=21fedc244fbe008d0e41f822fd49d34d
global_step=4192 | return=-144.48 | steps=130 | track=7fb1ce8813e7ea75786d784e5581a2e5
global_step=4208 | return=-138.05 | steps=131 | track=a43dddec55590ab95b3dd9c7cbfa751b
global_step=4208 | return=-142.81 | steps=131 | track=a4291c7c810db35ca6283edf3a93a18e
