/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_22-07-19-18-36/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=992 | return=5.76 | steps=62 | track=669868bf914becc75fb995bc70e15a6b
global_step=1008 | return=-5.70 | steps=63 | track=43cabd017b82856a4121be6d0e5a56ae
global_step=1008 | return=-26.00 | steps=63 | track=b4dc7c389c778f0ffb93cbb446c07273
global_step=2080 | return=-156.37 | steps=130 | track=f176c3822c4e3fbbcc82b4c4bd6dac66
global_step=2096 | return=-161.69 | steps=131 | track=fe31993981037130363a9cbcce6ab37d
global_step=2096 | return=-150.73 | steps=131 | track=2c3488bb622629c5837543879c1df799
global_step=2096 | return=-137.49 | steps=131 | track=242fa6133ab9fb772190f9400476b1ca
global_step=2096 | return=-150.61 | steps=131 | track=2c84e2dbdd669401bed8b7ef65306fcc
global_step=2096 | return=-144.00 | steps=131 | track=172528c6ab0552a90b4e9927f4219d05
global_step=2096 | return=-143.20 | steps=131 | track=e40fdfc65706abbe881e53297644fb9e
global_step=2288 | return=-87.38 | steps=143 | track=4125c815c445fd38bf8a7a95be1573d6
global_step=2304 | return=-161.85 | steps=144 | track=2c458d2ebf0d81cbd2cf5f8cf3a84fef
global_step=2352 | return=-73.67 | steps=147 | track=cec0448d244fcd2552002e8dd088bb35
global_step=2368 | return=-73.91 | steps=148 | track=1e2a0d19ac84909836d1381e01b98cff
global_step=2496 | return=-58.81 | steps=156 | track=ec12c7f67a2493dfeec5616facdfe092
global_step=3104 | return=-140.24 | steps=131 | track=e4bb1566879c0aae029abd137b14ff28
global_step=3120 | return=-148.36 | steps=131 | track=ae2c56e79e95449991fbf69520caab0f
global_step=3376 | return=-24.46 | steps=62 | track=d37f0ccbb1bb0f7bb208a43dd4373605
global_step=4176 | return=-129.21 | steps=130 | track=68196b4a4bff971b9940671a880a3cb5
global_step=4192 | return=-157.05 | steps=130 | track=977145085253115e736d3c3a67b58d0b
global_step=4192 | return=-138.64 | steps=130 | track=1104bc4ad93c4d6351c9e6bda6c2fa55
global_step=4208 | return=-152.13 | steps=131 | track=105767990035c5c454258d43b9d768c9
global_step=4208 | return=-149.20 | steps=131 | track=442447a33a40f712759353c26f2a1dce
global_step=4208 | return=-157.04 | steps=131 | track=cca49746a4d9ca9bbe4d984ccbc78190
global_step=4208 | return=-158.81 | steps=131 | track=1958290f8452a89d263357bcbfd4384c
global_step=4400 | return=-155.92 | steps=275 | track=04d6f2b6ba70aec2614c4061e5540d3e
global_step=4416 | return=-141.80 | steps=131 | track=4551b2f1055388b79d1ae9152cf41d30
global_step=4464 | return=-149.67 | steps=131 | track=31f8fb5d8edbd2458a424be2a77e2d19
global_step=4608 | return=-143.60 | steps=131 | track=87f6ab64cfd6fb681928cf076e2a2193
global_step=4704 | return=-119.61 | steps=150 | track=be34cea4f2aca551a32b8df4ddda2c23
global_step=4880 | return=-62.47 | steps=43 | track=2e0717f30797f0638bb3f14e72284528
global_step=5216 | return=-146.82 | steps=130 | track=42d66aa5fc328288da0e0c6ba88626cc
global_step=5232 | return=-102.06 | steps=132 | track=68085c3fc65a14ece707bbfec3751970
global_step=5344 | return=-119.20 | steps=270 | track=94ffbf7a7ef72db80de25fec17afc027
global_step=5408 | return=25.86 | steps=75 | track=0b6b9ff1261f738e1c3cd9a0c79b236f
global_step=5408 | return=-76.52 | steps=49 | track=db610b05cfcba2d6631521f25d3d2084
global_step=5488 | return=-148.21 | steps=131 | track=b678019a7c5c04529e23c43a370cdf21
global_step=6304 | return=-121.20 | steps=131 | track=f178cd9604bf972fdb5e13fbd072adc7
global_step=6320 | return=-143.59 | steps=131 | track=d557dfedab3efdcaca05da6ffaa89d81
global_step=6448 | return=-105.09 | steps=139 | track=ea051a9d2ec2474b50bc9dfbaf945be2
global_step=6512 | return=-132.13 | steps=130 | track=d66b3da8b0f76b54ed0ad75c0c76f859
global_step=6576 | return=-139.25 | steps=131 | track=2efffe8cfd32edab69085b189a33c044
global_step=6624 | return=12.00 | steps=70 | track=43002da98ac35dc705c8165a4b78f298
global_step=6624 | return=-155.60 | steps=150 | track=c4ba0323bb808be0703e1f562a1f7f47
global_step=6736 | return=-57.39 | steps=145 | track=99bd2512e85942693dd7f1c5c90573fd
global_step=6816 | return=-156.36 | steps=131 | track=2cc226639bb1ab14a917a6ffe63ad42a
global_step=7024 | return=-138.74 | steps=175 | track=80f04d1babcbb6f8be45b3fbc6f8f80a
global_step=7120 | return=-63.66 | steps=50 | track=4b379c1aaf3160281faeec85afb52e48
global_step=7456 | return=-146.77 | steps=131 | track=ba47073db1ab87b2aea108500d7b8135
global_step=7520 | return=-157.20 | steps=131 | track=82a97674ac1741cf5001f1a77ce03c80
global_step=7696 | return=-12.48 | steps=66 | track=06f120dae28778f1fc80f402469438ed
global_step=7728 | return=-59.81 | steps=155 | track=290ee2e5932d618067df129b34e673b7
global_step=8000 | return=-174.58 | steps=173 | track=1f929b66c185c410a133c1709df2a230
global_step=8432 | return=-145.02 | steps=131 | track=16aa45519110af7ef7721b36ef9a3667
global_step=8560 | return=-143.26 | steps=131 | track=c5d431fe87ac2a5486b8fd913b456530
global_step=8688 | return=-151.51 | steps=131 | track=a523f5aa118023ad68dae99a0765916c
global_step=8736 | return=-151.51 | steps=131 | track=fe1ee829e52a10fe4c0bf29724fbd55c
global_step=8848 | return=-162.77 | steps=131 | track=a3680094fa8026bfed9393c9d4686bbc
global_step=8928 | return=-103.49 | steps=219 | track=2106731d8675f5990fbd2de408067eaf
global_step=9376 | return=-128.16 | steps=178 | track=61f88c7c0d9323a0c96780948c39a1b0
global_step=9424 | return=-76.74 | steps=149 | track=38a1145a13ae1989b8e68a6bf5b004aa
global_step=9472 | return=13.12 | steps=64 | track=958c1ae8f6780d93b769895353ba89d9
global_step=9568 | return=-175.03 | steps=131 | track=25fd4ba95ab28f0dbf83ec34f532c3e9
global_step=9808 | return=-141.30 | steps=131 | track=f20a536cc16e6891150b4eb35e0279ab
global_step=9840 | return=-146.55 | steps=131 | track=59564b1f0851b1ac3a7f0ac00a144bc1
global_step=9904 | return=61.54 | steps=118 | track=24c25bb1a46c1ea4f1ecf27cd3f38df2
global_step=9920 | return=-79.72 | steps=149 | track=63facd5bff482a5679cd81244c21b20d
global_step=10144 | return=28.92 | steps=80 | track=df66bed4b21f7b7ae9b6c75ed459a8b1
global_step=10176 | return=-29.70 | steps=92 | track=f3d201a843e18a6b817461f9983828c2
global_step=10176 | return=-78.20 | steps=46 | track=ad1fa1b44b4857360a8c971b928b59ec
global_step=10784 | return=-295.19 | steps=368 | track=d34740e8a9a6f5a09f5875d18b2a93a4
global_step=10832 | return=-85.71 | steps=231 | track=3d8c31c173f81023e996126b5fc5d92c
global_step=10832 | return=-140.09 | steps=130 | track=a3022510db84405a3bb12d3f02003434
