/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_22-07-19-18-35/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=976 | return=-33.66 | steps=61 | track=545beff433b541774b3b2984a283520e
global_step=992 | return=2.06 | steps=62 | track=b7fbfc2f86cf88c0e3c8feb881b9c6f0
global_step=1056 | return=30.30 | steps=66 | track=6499f0040b7feeb3125f2c8e1ba6380c
global_step=2080 | return=-156.55 | steps=130 | track=00be0c95e3fe7b6190f07a960834c69b
global_step=2080 | return=-157.63 | steps=130 | track=4a1d7c79f0a0e79344fbc127f15d7558
global_step=2096 | return=-164.60 | steps=131 | track=9abce1770c20d993b1741f717327ffaa
global_step=2096 | return=-149.11 | steps=131 | track=859ebb9348ef272fa8fe004c3aad8204
global_step=2096 | return=-142.05 | steps=131 | track=0d3680c65e211259a304f8885803682d
global_step=2096 | return=-135.81 | steps=131 | track=502e1ca24094faf2580d2686c3adcfc5
global_step=2096 | return=-148.21 | steps=131 | track=e5778016b66c3e2d9833496a75bffd4d
global_step=2096 | return=-150.37 | steps=131 | track=516619a52394aac5a267a22cccfecf4f
global_step=2096 | return=-145.80 | steps=131 | track=59313146ab5c96ce3eefbc46aafca262
global_step=2096 | return=-147.79 | steps=131 | track=10f2e3e959f0b782014e3ffc1c03ddf4
global_step=2432 | return=-43.32 | steps=152 | track=ab1910238a9d0785c648104e6309cfa0
global_step=3088 | return=-127.60 | steps=131 | track=3270bf560be87523e813aea4c903e9fe
global_step=3104 | return=-152.41 | steps=131 | track=e67dbe12e703818e29c5d48fd33f96ee
global_step=3152 | return=-34.79 | steps=65 | track=74775059501c15b57ea26fa41cae6689
global_step=3168 | return=9.09 | steps=66 | track=12b6c400b90eb9bea3d46518bd4c63db
global_step=3648 | return=-179.89 | steps=228 | track=b84c8d273d63ed6934839ac23f3bd898
global_step=3840 | return=-151.53 | steps=173 | track=a5c9c0e53c29c07ac62e88961c57a058
global_step=4160 | return=-146.49 | steps=129 | track=4b8ac7a39e651b9b20b8f7022430db4b
global_step=4192 | return=-142.30 | steps=131 | track=e2174e28ce872d509a700ef53bc901fd
global_step=4208 | return=-150.51 | steps=131 | track=47830d1bdfc250ca45d34a90d055d48f
global_step=4208 | return=-141.79 | steps=131 | track=ad21a211304fc4cbdd8233ce13e232cb
global_step=4208 | return=-149.40 | steps=131 | track=f584d2f2f28814091348406353886393
global_step=4544 | return=-88.76 | steps=152 | track=2f2a34f882faedd1d8efadff45571a73
global_step=4560 | return=-49.68 | steps=153 | track=15240a161e9708ec9a8e2215fb5d0690
global_step=4624 | return=-32.35 | steps=48 | track=42b49fb8f0996fc92699d79dd95b87b9
global_step=4656 | return=-60.63 | steps=138 | track=fc13960044e099cc388a7b94a41afcea
global_step=4896 | return=-72.13 | steps=45 | track=474f0b9ff76cd24e649238b1dc4674e0
global_step=4896 | return=-141.03 | steps=174 | track=4e6b1e1c8baec78d6ca963d72f58fdd0
global_step=5216 | return=-147.93 | steps=131 | track=92fbbeab86de8c35452b56ad0a3f5a36
global_step=5280 | return=-138.50 | steps=131 | track=d832687b04834bacceb9be78999e2db5
global_step=5760 | return=-156.64 | steps=131 | track=54c8722cf6b8d5f00ae88dc00626160d
global_step=5792 | return=-145.02 | steps=168 | track=c763dcc98c052f0ad27e46abcdef03a3
global_step=6256 | return=-148.06 | steps=391 | track=6ffff534b15fbbcea35f902942108319
global_step=6304 | return=-142.95 | steps=131 | track=d7530edf83c2f5ef6705343116e8394b
global_step=6320 | return=-144.76 | steps=131 | track=c909d757b7b3192bf18244800bd0d700
global_step=6320 | return=-156.83 | steps=131 | track=9195b17b06485e3f141b5c04b1f2c556
global_step=6656 | return=-137.58 | steps=131 | track=1fff680b26d56257c5493ceb5102313d
