/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.2_bud_180_22-07-19-18-32/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1024 | return=12.25 | steps=64 | track=77fb96f5ee33d9fd9abc4eff3580b7ad
global_step=2080 | return=-140.79 | steps=130 | track=7737949008c5e714f5bb5e6cc14f3200
global_step=2080 | return=-140.59 | steps=130 | track=550b16a536642e034eec8e24248aa418
global_step=2096 | return=-150.41 | steps=131 | track=c78dbe50680d246517b59d8b894e1cf4
global_step=2096 | return=-138.27 | steps=131 | track=57e68b814a6280a0c832d4d19ae9e58a
global_step=2096 | return=-144.98 | steps=131 | track=f45972894feda8e7c89ead3b64f32f7c
global_step=2096 | return=-129.51 | steps=131 | track=07b060750f6b2d26093104d0e982fe41
global_step=2096 | return=-141.96 | steps=131 | track=1f424f1207c02a19cb422262788bc068
global_step=2096 | return=-143.97 | steps=131 | track=0f42bfae2e633c3452c3d50065cf5ce0
global_step=2096 | return=-135.76 | steps=131 | track=8b59cd8f4f1a719fd0e29e1f8580e13b
global_step=2096 | return=-139.57 | steps=131 | track=bf568c8d1ff96d8433ff7eca663559c8
global_step=2320 | return=-80.71 | steps=145 | track=cc08d253d625fc9f972cf62ae79b44fa
global_step=2384 | return=-71.71 | steps=149 | track=e31ce3de41910f6fac1ed132d852d1d9
global_step=2480 | return=-25.25 | steps=155 | track=496ff6c2a8771fe3fe9584ef8106c462
global_step=2768 | return=-16.13 | steps=173 | track=52dab7a57fc193925f63af2d608f8cfe
global_step=3136 | return=-134.23 | steps=131 | track=a256f02140974db8010965f254e0f16e
global_step=3216 | return=40.63 | steps=69 | track=d6848dbf09b924ef91d87f6918fc926a
global_step=3504 | return=-1.27 | steps=63 | track=68a84aa265e5a725f967770d45db258c
global_step=3744 | return=-80.57 | steps=102 | track=7454c994f19d1a1d182bf8a05c0946e5
global_step=3984 | return=-9.35 | steps=47 | track=eef3596a947a60c6307bb44eeba58533
global_step=4192 | return=-134.32 | steps=131 | track=1de30a6d3994776952623903927747c6
global_step=4208 | return=-143.67 | steps=131 | track=e1f8a95a26945813c8e921ee976ca66b
