/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_04-08-13-39-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=960 | return=30.13 | steps=60 | track=ad72c11145318f1feabeb38ed65cd2d5
global_step=1168 | return=1.85 | steps=73 | track=5c090306a68cf0702fbd8912c6b685ee
global_step=1936 | return=-47.53 | steps=47 | track=b2c1949debcd18a9888e073de3e1a6aa
global_step=2080 | return=-148.51 | steps=130 | track=a4326aadb703334aa5b05e890f1da8a2
global_step=2080 | return=-146.78 | steps=130 | track=dcd292b4a3ee6b0ded9623d665bb1ffd
global_step=2096 | return=-160.40 | steps=131 | track=64b37d043e9b0e83c8b69bfd59ebbddc
global_step=2096 | return=-140.92 | steps=131 | track=a57c5afbc91045e31d483f8ac4d02125
global_step=2096 | return=-129.40 | steps=131 | track=d5e122fff7c402dbe7250cc072992ddf
global_step=2096 | return=-128.02 | steps=131 | track=7bb6fe9bcd8820191c8f703462910beb
global_step=2096 | return=-151.64 | steps=131 | track=bdc991085f89a920bf0ed4b37af46c67
global_step=2096 | return=-141.75 | steps=131 | track=22e1ceef067791191e2abfc47264c534
global_step=2096 | return=-143.01 | steps=131 | track=6b1020cc9c34371ce1c4cd0e5f1bf343
global_step=2096 | return=-135.00 | steps=131 | track=8c1c01a83f45678102041424052d4763
global_step=2096 | return=-148.85 | steps=131 | track=7c04fe51a466f46f5f2ef4c1dde5677b
global_step=2096 | return=-144.11 | steps=131 | track=b61c1ccdaa015908a30fe173c9b8b8be
global_step=2464 | return=-49.43 | steps=154 | track=d7d164e9795246d956daa54002e65d08
global_step=3104 | return=-16.46 | steps=72 | track=fd9092740d2129d2179663b8a9fb8e80
global_step=3136 | return=-2.95 | steps=64 | track=7a8eea357aca5dfd5c7828314aad381c
global_step=3440 | return=-214.81 | steps=215 | track=190417c2fd52a833908566db56c1af3a
global_step=3616 | return=-97.67 | steps=94 | track=3d27c926e86ef605986e36c63902cb29
global_step=3712 | return=-109.21 | steps=100 | track=b3b0a857f2d3c71f1bdb9a3926a03c04
global_step=4192 | return=-134.07 | steps=131 | track=43557fabe73cbccb847840930dd42ee1
global_step=4208 | return=-157.55 | steps=131 | track=cec59b139458062b4a6975342bca634a
global_step=4208 | return=-140.07 | steps=131 | track=724ce9b6373c102d2f2abb0a1665ba89
