/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_04-08-13-39-41/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=896 | return=-77.90 | steps=56 | track=901332b42f00b807616633937173ef14
global_step=1120 | return=7.51 | steps=70 | track=fbc5215ffa6f78ebc540b1e877bdc5b0
global_step=2080 | return=-156.03 | steps=130 | track=7b32d79624a0d6881aa143cc500e8a56
global_step=2080 | return=-152.29 | steps=130 | track=6d7b27157da111ccb79930b57fb8ca0a
global_step=2080 | return=-154.86 | steps=130 | track=f66230098f0e9cc631faa8c5713710ac
global_step=2080 | return=-157.73 | steps=130 | track=9a95fadee69c1291988ecfeb35960bf5
global_step=2080 | return=-142.64 | steps=130 | track=9dc3e28f11cad0f72307235ac57d9d78
global_step=2096 | return=-142.24 | steps=131 | track=520f687ae476ca19f6740017b7b5bad5
global_step=2096 | return=-138.13 | steps=131 | track=9cbfd94f8651bdf2c59bc4b78258efc1
global_step=2096 | return=-143.01 | steps=131 | track=af1617f06d5f89448c8b32a093159dca
global_step=2096 | return=-150.21 | steps=131 | track=d26a71a5313dcc9657c8368f1c3beb97
global_step=2096 | return=-148.24 | steps=131 | track=89a9bcc77c255737a3d588cc273e3021
global_step=2096 | return=-140.76 | steps=131 | track=a982a32fde24c8b45f12eef1adae926f
global_step=2096 | return=-137.67 | steps=131 | track=bb57d10d781292530759e09d3cbfbb1b
global_step=2112 | return=-145.51 | steps=132 | track=48be9e7f32fa2bb9fb00e5a90a00a8e7
global_step=3008 | return=-134.25 | steps=131 | track=7d0441f47e616b9077fe3d0e5a879624
global_step=3216 | return=1.71 | steps=70 | track=68c76e39e5b523b2e4f3cc3ed7c5ecaf
global_step=3232 | return=-137.73 | steps=131 | track=155b7c747d4e14c5ae7218f44609439f
global_step=3568 | return=-195.56 | steps=223 | track=2710c2d6f4efbbdad2923789afee84da
global_step=3824 | return=-118.95 | steps=108 | track=3aeb440c981c80d9eae380187a0d0c85
global_step=3920 | return=-92.31 | steps=113 | track=ecedb3d076cd9cb64d87563fe7851b14
