/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_180_04-08-13-39-38/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1008 | return=-11.78 | steps=63 | track=8b2425c1b205a6f62d9c9205fffa9131
global_step=1072 | return=26.07 | steps=67 | track=e17c725f9200120adb595a4e01723ee7
global_step=1088 | return=-5.40 | steps=68 | track=6c864254684cb7d584757cf9452920e6
global_step=2032 | return=-90.36 | steps=127 | track=435f0fc9fd15ee0090160175aec4b39e
global_step=2080 | return=-156.64 | steps=130 | track=024771672a9bacc0acdfc76fe6f5ee36
global_step=2080 | return=-151.37 | steps=130 | track=f82d0ba5a42b052cefa232aaa48ef9f5
global_step=2080 | return=-153.92 | steps=130 | track=6d75b344a98ee19ab40dfa6ae0473f9b
global_step=2080 | return=-139.18 | steps=130 | track=f900968e535e3eeaf99688b7fefd5533
global_step=2096 | return=-132.00 | steps=131 | track=392d7ec4fcb94b90116d7847b9312ab9
global_step=2096 | return=-134.80 | steps=131 | track=f69369452ec72a76ab1091e5d9220ffc
global_step=2096 | return=-139.70 | steps=131 | track=b493081fe9b601447ede59e69987541f
global_step=2096 | return=-151.49 | steps=131 | track=a6fd85a751e8357ece5f6196d5d57a46
global_step=2096 | return=-141.66 | steps=131 | track=343d9b542e7f0420d0d1cc1390d05edb
global_step=2096 | return=-149.23 | steps=131 | track=e6f3bf1cfe1704ad3aa4096ee7989c0f
global_step=2096 | return=-150.41 | steps=131 | track=6921fcc65185d6e8d54da407c5ab3c01
global_step=2720 | return=-177.67 | steps=170 | track=3b042466c1e287d9a2d92f4cb59dad11
global_step=3088 | return=21.26 | steps=65 | track=4e079ae3c2eed58b64318b3ca28d0d69
global_step=3120 | return=-136.19 | steps=131 | track=2399d4644baf307c9bcc783d90fecbaf
global_step=3136 | return=-7.81 | steps=64 | track=e8e55301333a967bc8198584d0f22c60
global_step=3136 | return=10.34 | steps=65 | track=3dc2e7e60d707cb0dce7c244708f3a3b
global_step=3184 | return=-133.61 | steps=131 | track=962fffaff8f004879ad06af456a67044
global_step=3184 | return=-143.33 | steps=130 | track=bbfd1a9f6f84f37200511c56bd9bdbc8
global_step=3216 | return=43.56 | steps=69 | track=5f73b4cee452630180309072530b8901
global_step=3664 | return=-105.82 | steps=97 | track=d1e611166c9c3cb6d9151827ad0eb066
global_step=4192 | return=-143.30 | steps=131 | track=03bc78a1852337df1ceaa78216016c19
global_step=4192 | return=-144.28 | steps=130 | track=ca346ca4f74edc045b7d5ea3f33d97c7
global_step=4192 | return=-154.48 | steps=131 | track=add0543a7d666c9e9f40b2553072d5dc
global_step=4192 | return=-147.89 | steps=131 | track=fa490af39d0c3cbd574ade7bed9e5467
global_step=4208 | return=-142.11 | steps=131 | track=51c42ba4ba9f81e29b2a9ea5a6be3f62
global_step=4208 | return=-144.37 | steps=131 | track=0f041e88fabbc13fb1ae4687b4c45f91
global_step=4208 | return=-25.48 | steps=63 | track=69207788f385a4209bfd00b434faadca
global_step=4208 | return=-144.44 | steps=131 | track=f507649f2c33d5188cfa7f56aa37d364
global_step=4208 | return=-9.35 | steps=61 | track=6e14b064c626afbbed14baec40676ff8
global_step=5072 | return=-147.50 | steps=123 | track=c9e32cd5bc6febcd7c4b2a49bb23a3c4
global_step=5200 | return=-19.83 | steps=62 | track=419559c49de81d09198ab207eaa518ac
global_step=5216 | return=-107.83 | steps=130 | track=8a2a7e7bce268fb6641aca57a2ab68dd
global_step=5248 | return=-147.21 | steps=131 | track=b8c33828e34138077f785ee1ed14087c
global_step=5248 | return=-167.82 | steps=131 | track=7376faa79d8e40e2348c583f2197076c
global_step=5296 | return=-5.20 | steps=68 | track=8e60aaaece41f865c2808f14d70b76b8
global_step=5296 | return=-134.00 | steps=131 | track=ca22200ad50a548f5b10c38ba7e18101
global_step=5328 | return=8.54 | steps=69 | track=323dbc2aba32360c58b975c7f36c4cc6
global_step=5776 | return=-140.63 | steps=131 | track=d0b499ee500747b3bef0aa2a9c4bd32b
global_step=6304 | return=-134.86 | steps=131 | track=8a517158fb70a96634dcde703a140dda
global_step=6320 | return=-134.40 | steps=131 | track=ea7da9a4088c82802f5b14c40bbfabb3
global_step=6512 | return=-76.13 | steps=143 | track=9f7598ec41023883fbfae326f5c91ea6
global_step=6656 | return=-45.06 | steps=152 | track=0a0e6609dead3aa1896321e133e2c7e6
global_step=6848 | return=-99.94 | steps=96 | track=d534e6b79d3ce546366c66808bfceadc
global_step=7056 | return=-158.19 | steps=177 | track=285d96dad9a05134f72c1d84f06a6fba
global_step=7136 | return=-71.86 | steps=275 | track=1d999741c1c3699f26bd2eaf40b70b6e
global_step=7248 | return=-10.82 | steps=190 | track=ed20b9c1f23e4649ca5acd716cddd460
global_step=7312 | return=-142.90 | steps=131 | track=7219bf7b0fca644533f3209e27569867
global_step=7328 | return=-150.46 | steps=131 | track=415c662d74fb48be73808325e43dae8a
global_step=7360 | return=-145.91 | steps=131 | track=0101930f89d6587931c38598014646ca
