/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.0_bud_180_20-07-14-09-52/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=336 | return=-59.73 | steps=42
global_step=544 | return=-87.93 | steps=68
global_step=992 | return=-36.58 | steps=124
global_step=1048 | return=-149.43 | steps=131
global_step=1048 | return=-145.43 | steps=131
global_step=1048 | return=-145.43 | steps=131
global_step=1048 | return=-146.43 | steps=131
global_step=1048 | return=-142.43 | steps=131
global_step=1392 | return=-145.43 | steps=131
global_step=1720 | return=-55.71 | steps=146
global_step=2048 | return=-149.43 | steps=131
global_step=2104 | return=-148.43 | steps=131
global_step=2104 | return=-141.43 | steps=131
global_step=2104 | return=-149.43 | steps=131
global_step=2104 | return=-146.43 | steps=131
global_step=2104 | return=-147.43 | steps=131
global_step=2448 | return=-145.43 | steps=131
global_step=3048 | return=-110.78 | steps=117
global_step=3160 | return=-154.43 | steps=131
global_step=3160 | return=-149.43 | steps=131
global_step=3160 | return=-148.43 | steps=131
global_step=3160 | return=-143.43 | steps=131
global_step=3504 | return=-146.43 | steps=131
global_step=4064 | return=-60.43 | steps=112
global_step=4096, SPS=18
global_step=4104 | return=-145.43 | steps=131
global_step=4216 | return=-145.43 | steps=131
global_step=4216 | return=-149.43 | steps=131
global_step=4216 | return=-145.43 | steps=131
global_step=4560 | return=-120.15 | steps=131
global_step=4608 | return=-132.44 | steps=360
global_step=4816 | return=-39.46 | steps=345
global_step=5120 | return=-148.43 | steps=131
global_step=5272 | return=-148.43 | steps=131
