/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_90_04-08-13-45-36/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1056 | return=-19.80 | steps=66 | track=ee7f3a191ba33a1b011573aa97d6bf13
global_step=1056 | return=-13.34 | steps=66 | track=f061b838024ba9bb9f924cbb91021c1c
global_step=1104 | return=9.84 | steps=69 | track=04fe82b3af67c5f1d4ca9337315211d3
global_step=1120 | return=16.89 | steps=70 | track=6ec9fccdb2bb60b60bbba1f5a1bbbbea
global_step=1904 | return=-115.17 | steps=119 | track=af2ff9dcc707079f1eedebfbea81ad7c
global_step=2080 | return=-151.55 | steps=130 | track=99b29939487080303e461ae05985b715
global_step=2080 | return=-146.98 | steps=130 | track=ad41e4324174699c9d774097e5e7f8e5
global_step=2080 | return=-142.07 | steps=130 | track=31666a7704e076f1d6383a608294cb5f
global_step=2096 | return=-159.99 | steps=131 | track=c180403d49ef7f56dc4f6c5ad51873ff
global_step=2096 | return=-136.33 | steps=131 | track=0a07af723874ce5bebf3fd7ecc04f68e
global_step=2096 | return=-138.67 | steps=131 | track=c42562c0dddecef448ae06dc501c08a6
global_step=2096 | return=-138.70 | steps=131 | track=27d987ba7614a116d72af7a169e03fa4
global_step=2096 | return=-138.93 | steps=131 | track=47c5f6f18129f09c5ac6c60231f84ae2
global_step=2368 | return=-15.13 | steps=78 | track=f60d4482eff03c057409131bdf4c584c
global_step=2480 | return=-45.54 | steps=155 | track=763562cbf370c0c4ff7b1e29af9066d8
global_step=2784 | return=2.72 | steps=107 | track=df3cdbc2388f3ec59ad14d3f7d0d1cf9
global_step=2816 | return=-111.75 | steps=105 | track=2f3cb236fc78f03c530b53b629befc5c
global_step=3104 | return=-198.97 | steps=194 | track=5370508c3cd41f02589197c21db6aaa7
global_step=3136 | return=-4.55 | steps=64 | track=9805cf9af2587a5f3064ce50cfc40490
global_step=3152 | return=-153.73 | steps=130 | track=d311d82f5155be4ac4a53e9fd1dd6cf0
global_step=3184 | return=9.15 | steps=67 | track=42f45a35a0c65a24dea5598e02f087d4
global_step=3232 | return=-37.14 | steps=46 | track=c255803581c98d702a7fe79cb7726b69
