/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_90_04-08-13-45-38/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1056 | return=6.79 | steps=66 | track=7d747399aa230bd22eb393d2e6d76bca
global_step=1056 | return=7.45 | steps=66 | track=0db5dc27b1bcd1370e68e88cf2b56513
global_step=1056 | return=1.53 | steps=66 | track=5b9af4a32617be83b54cda28fddbd22a
global_step=1968 | return=-144.76 | steps=123 | track=aeccfe0f1d13bf378e6b0f7bd1a0b1dc
global_step=2080 | return=-164.89 | steps=130 | track=93729275bfec9f6ede5a1ad2d87245a5
global_step=2080 | return=-151.44 | steps=130 | track=6ec8acf458aa85135e702418b77ca43f
global_step=2080 | return=-128.90 | steps=130 | track=73c5437418de3c80f2eb189a1902b60e
global_step=2096 | return=-149.45 | steps=131 | track=8fd476ca86b8913ea75b51bf06c228b9
global_step=2096 | return=-136.53 | steps=131 | track=04272d1ee64bf6cb39ead38fef45420a
global_step=2096 | return=-158.70 | steps=131 | track=e7029578dd0d30b384988e1d8167be91
global_step=2096 | return=-145.81 | steps=131 | track=8ad09b70694c291c03d46391a9573b77
global_step=2096 | return=-122.75 | steps=131 | track=c10438bbc0ff13f8450ce12fa6e6eab4
global_step=2096 | return=-136.96 | steps=131 | track=28d8f9eaa6ed948ba09c6c7d88bc8343
global_step=2096 | return=-1.06 | steps=64 | track=50984cbf9f1956f8237e66e38ad3ff2f
global_step=2096 | return=-145.44 | steps=131 | track=f0a39bbbdf55c47b94ebf8fa90fcf849
global_step=2096 | return=-140.59 | steps=131 | track=5ca32c72af3a3a955ebd94eebd45a527
global_step=2464 | return=-6.49 | steps=87 | track=d0c856949a0a93eec09837c135ad8970
global_step=2720 | return=-179.50 | steps=170 | track=452a4e8d6fe28b098dc811a1e7814bb4
global_step=3168 | return=-146.91 | steps=131 | track=faecf8494fa1e14fc9e273412cda3f79
global_step=3632 | return=-113.41 | steps=95 | track=de25fffc532cb32c4011800706968092
global_step=3776 | return=15.82 | steps=65 | track=9f3204494da0e0996d8fc5883b65a2aa
