/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.9_bud_180_04-08-14-41-58/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=560 | return=44.84 | steps=70 | track=57baab59175e3add4e491dd035213973
global_step=1040 | return=-93.56 | steps=130 | track=ea9e461dc503a1ec4fe8f7c7e7415975
global_step=1040 | return=-97.78 | steps=130 | track=c5e251843eaa7867f5e001849cf8553d
global_step=1048 | return=-97.79 | steps=131 | track=513fbc7e2c33fac1e5742a8a035addfa
global_step=1048 | return=-91.81 | steps=131 | track=5edaa2bf978f091426672b4b5600652b
global_step=1048 | return=-83.84 | steps=131 | track=1e475533553baf03780812a06d19e959
global_step=1048 | return=-78.87 | steps=131 | track=38c463d2c18f9bbc48b332d985d7b246
global_step=1048 | return=-112.65 | steps=131 | track=a484cd53d0ddae9d55119426f5c1e06f
global_step=1272 | return=-103.80 | steps=88 | track=db44669ebb95799ff2c7daa61e836d6b
global_step=1792 | return=-84.94 | steps=92 | track=802650a3e88bf77a81861d3415b6a574
global_step=2096 | return=-99.81 | steps=131 | track=53b11e803fc98ff5d7ca313ad8afcd42
global_step=2104 | return=-90.90 | steps=131 | track=46c96673ce93e10a5c26f6fd07182e0a
global_step=2104 | return=-84.46 | steps=131 | track=2d51e1d1c321259099f435c5c5568e22
global_step=2104 | return=-100.20 | steps=131 | track=b22899d354c2d2c4189092c583854a71
global_step=2104 | return=-97.91 | steps=131 | track=2e878b58fdc4a56734957ad9939602a2
global_step=2328 | return=-96.20 | steps=131 | track=6c3aaa0fcea0cdff4e5039d5ae51f20d
global_step=2424 | return=-46.40 | steps=39 | track=03c5bb435c6d22a2dced019665e281c7
global_step=2744 | return=-34.83 | steps=212 | track=04529841414b93682258548d16cbeeb5
global_step=2840 | return=-104.96 | steps=130 | track=1ca25f4d9efa23d3ac96210349120291
global_step=3152 | return=-90.13 | steps=131 | track=1c4d04aa11cf313e27f3c3ff7c9ed279
global_step=3160 | return=-87.33 | steps=131 | track=a8644ed2073c97d75eb45380099a9f61
