/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.0_bud_180_04-08-14-41-59/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=488 | return=-15.02 | steps=61 | track=fa9187906600ea33d858a2ca1d42b216
global_step=496 | return=17.78 | steps=62 | track=6f10bb368b868ea8bef06d3aa4179483
global_step=1040 | return=-81.57 | steps=130 | track=dd4d8e92bed40e6db88cd78539c15837
global_step=1040 | return=37.11 | steps=67 | track=27a41edbca64218dd077a4b57ab48af3
global_step=1048 | return=-114.44 | steps=131 | track=add2529554909ffa2961ad55f38c8016
global_step=1048 | return=-102.93 | steps=131 | track=2817418d43f1f2b8a07a23c7cdd180c1
global_step=1048 | return=-103.90 | steps=131 | track=6f1cb4865ac019d56f58cc9367f54a27
global_step=1048 | return=-79.63 | steps=131 | track=3adee935eee528b5188940cca52e5de0
global_step=1048 | return=-97.91 | steps=131 | track=5abf778be23ce76c3a528026d622d049
global_step=1544 | return=-31.48 | steps=61 | track=4f4f713c835257dc3bba1fe4f7a5c3a0
global_step=1544 | return=-78.11 | steps=131 | track=b297b58c4114323d3d2bb2b2bade8822
global_step=1608 | return=39.14 | steps=70 | track=379f2e8f9e40dff3f44475ebf69486f0
global_step=1960 | return=-39.43 | steps=113 | track=94c8a5893787b099af83e4c90e0a17dc
global_step=2104 | return=-102.51 | steps=131 | track=9e2cfa4c4e4ed77dd84278830289807b
global_step=2104 | return=-87.80 | steps=131 | track=4b7e5dd6da839c3db36093cd4d1f160c
global_step=2104 | return=-92.91 | steps=131 | track=ff2661aa1d7802bfb06a2b499724fd15
global_step=2152 | return=-4.25 | steps=75 | track=ea82b1a2138d64180d5e9cf90f4fd7ae
global_step=2440 | return=8.90 | steps=111 | track=d31ca8f7be461e5a4a667dd1e9186914
global_step=2648 | return=51.34 | steps=67 | track=17c19aa6b884d49b9eb6b41eff9c861e
global_step=2664 | return=-88.24 | steps=131 | track=468d53814ecbf0df7385b294b95efb33
global_step=3016 | return=-96.24 | steps=131 | track=a2934e5edeaa97de0d23c113d22d5dee
global_step=3160 | return=-97.40 | steps=131 | track=dc103678018226daeff7462981fadd9d
global_step=3160 | return=-95.57 | steps=131 | track=6715c5938663f5247b7e39d3a8c49cce
global_step=3440 | return=-111.61 | steps=160 | track=57f414ce7045a2b800c1b9358b81274e
global_step=3704 | return=-91.10 | steps=131 | track=98aeede825e5291d7a5bac4d3a4bdf20
global_step=3752 | return=-5.95 | steps=338 | track=c94eb413fc39a8dc5163a1291db63b00
global_step=3824 | return=-85.93 | steps=172 | track=b378f70c28007854351e08c1bb4b009a
global_step=4064 | return=-97.72 | steps=130 | track=ed38ece43c7d079af2d1730442ff4012
global_step=4216 | return=-91.37 | steps=131 | track=fa67368e5aeaef4791e0af14bc5d550a
global_step=4272 | return=-3.33 | steps=70 | track=268c5acf111d4c1d66d8be85b8f4883c
global_step=4320 | return=-35.42 | steps=144 | track=91d6f55f85fb7707dfe508c677bd6639
global_step=4440 | return=-17.58 | steps=76 | track=62a05e619b2a668cb8c2fee5708add4e
global_step=4496 | return=-92.91 | steps=131 | track=4bce1e5eedd1016cad9696286179dc42
global_step=4800 | return=-47.14 | steps=59 | track=919c5b6eec017deeb7fe525fc8c87011
global_step=4800 | return=-97.22 | steps=130 | track=321a6f6b24f56f3cdc0548cec855f89f
global_step=5112 | return=-100.79 | steps=130 | track=6c2c9f72a3b50da75656e0c990b4582e
global_step=5320 | return=-51.14 | steps=137 | track=aa4df10c0f67366dda0e7758c601bf7b
global_step=5328 | return=-100.99 | steps=131 | track=cf477a06dacb90ed01248d973757b398
global_step=5488 | return=-89.58 | steps=130 | track=e6c3bec41830f32b527dec976ee0a271
global_step=5552 | return=-101.37 | steps=131 | track=8ae33ce40e9cb985ff0e2cf743ba8d5c
global_step=5832 | return=6.17 | steps=62 | track=17a4129b8752505e4661d87a95090a1f
global_step=5848 | return=-105.75 | steps=130 | track=0d91594c34c4c48fbfd46b80afea1d52
global_step=5856 | return=-88.76 | steps=131 | track=64a2c4ad063363b112a8246b1d7e47ad
global_step=5864 | return=54.63 | steps=67 | track=5cefd086c8cf5a914170e5a84bbb7019
global_step=5936 | return=-17.83 | steps=55 | track=f83a794191d0288be2eda11e02699160
global_step=6168 | return=-100.51 | steps=131 | track=14a7d7a207cc9d6fae5c75e18be7ee38
global_step=6352 | return=11.20 | steps=60 | track=c3bd9bb24b26b91f0d1f58d11228cc34
global_step=6424 | return=76.35 | steps=70 | track=590bb3aeabeaeeecd900192a3b5793b9
global_step=6608 | return=-95.68 | steps=131 | track=23a3002bf389e03bb7a39f62ad15e8a4
global_step=6824 | return=7.47 | steps=519 | track=eea8e1f679f8fdb5ed054f4f9edf07ff
global_step=6888 | return=-80.86 | steps=131 | track=0fc49325805fa8b2c4475c91014e03c8
global_step=6904 | return=-103.11 | steps=131 | track=b6c0042eaf02abb8230fe2e34cad9bbb
global_step=6992 | return=-95.65 | steps=131 | track=b6657ee0d4f867350a93e9ad3e700bf6
global_step=7240 | return=1.14 | steps=133 | track=9d28634fce7e7782ca92a9e4367af757
global_step=7408 | return=-89.68 | steps=131 | track=ccc2ab5d7d74a9ff2a7d6a472e208b91
global_step=7488 | return=-32.40 | steps=109 | track=dbde5dde97401c3c9a18d7fc9af37f1a
global_step=7616 | return=-51.73 | steps=46 | track=dea8119faf2c9f88f9dee54983ffa3af
global_step=7792 | return=-48.69 | steps=47 | track=457044e8cbe3640606f042f04ea16de0
global_step=7880 | return=-90.71 | steps=131 | track=1f74526e8c3db09a27250291100cfb2b
global_step=7936 | return=-101.57 | steps=130 | track=81ed0d2de726b07bac32d2cef64ba621
