/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.8_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=544 | return=47.23 | steps=68 | track=05564034a0b5dd5d8a64f1e6cd6935b6
global_step=1040 | return=-85.84 | steps=130 | track=eefa7f70e4b2f6a86abc2966eeb4f6c7
global_step=1048 | return=-107.48 | steps=131 | track=5eafee2840e1066198f729b61074bd0b
global_step=1048 | return=-87.36 | steps=131 | track=fc8e40189369af10068dfaab28f81dc4
global_step=1048 | return=-96.97 | steps=131 | track=ec6894e0fde6bfc6607ea381c331a4a8
global_step=1048 | return=-102.28 | steps=131 | track=b4750a79aef1997c9eeb3a62c4ba0a9b
global_step=1048 | return=-91.33 | steps=131 | track=0c22d85c4ea11e34d9f97f19faea1c9e
global_step=1056 | return=-98.71 | steps=132 | track=c58bbcb829d493e0f03e5dfdbb9ea010
global_step=1592 | return=36.27 | steps=67 | track=251520e75f7f91ce8c98b1c5265d263c
global_step=2104 | return=-92.68 | steps=131 | track=89364311c6bca420e55da2c3f3ef2a81
global_step=2104 | return=-91.13 | steps=131 | track=22073c10f7ab1e98b175b3978eea51b7
global_step=2112 | return=-109.42 | steps=132 | track=20fd5cfc62475103680e4e66363cfd81
global_step=2112 | return=-54.57 | steps=131 | track=98d6b00cfa66369d72cfea32bced3889
global_step=2248 | return=-29.17 | steps=212 | track=c77ee46c1302cf3e1d77284d6267f9f7
global_step=2312 | return=-68.77 | steps=89 | track=8a78917fa7b7b9121df4aac4cf06c308
global_step=2432 | return=-113.87 | steps=172 | track=c268427b5849859e26f32583a38f94b7
global_step=2632 | return=-89.33 | steps=198 | track=c581b49aee6f93d785b10013a9b584ee
global_step=2880 | return=27.42 | steps=78 | track=a2627b000dc9af4f4b306b1c207037ca
global_step=3120 | return=6.15 | steps=126 | track=d43193b17860628b2a254f63e72f7f28
global_step=3160 | return=-96.68 | steps=131 | track=268116d18697d07053f9f38845975144
global_step=3168 | return=-83.90 | steps=131 | track=2b22c9a9657984cd28fe6e186ad6fccf
