/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.1_bud_180_04-08-14-42-01/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=488 | return=22.00 | steps=61 | track=0bcfa14e6cdd29054f1afd26f969c194
global_step=520 | return=60.11 | steps=65 | track=cf980f4c9e8be1b5a16dea65756fa3f9
global_step=1048 | return=-110.63 | steps=131 | track=c01f4d991ace12d39b1f5503e5ac99df
global_step=1048 | return=-97.41 | steps=131 | track=639866c7fbca067ccc322d1d47bc491b
global_step=1048 | return=-88.00 | steps=131 | track=25a1d5c9863e0c87c8c1dc38e86ec4af
global_step=1048 | return=-95.48 | steps=131 | track=733955513caf9791203d0b5b86a192d0
global_step=1048 | return=-90.89 | steps=131 | track=d8bac67ea0d24c023e75a513eff33bbc
global_step=1208 | return=-71.28 | steps=89 | track=18ca35fc785088800249fa7a8dbf794b
global_step=1232 | return=5.24 | steps=154 | track=66ec84491282a8351a97288922a47064
global_step=1576 | return=-99.98 | steps=131 | track=7100ff97b5f5247f7ee8819dfce74810
global_step=1624 | return=41.09 | steps=71 | track=b27ef0c4b057ef02dbb9db2e1e925b8d
global_step=2104 | return=-104.36 | steps=131 | track=a1a1b01dc86f6fa75254c5e63c4ce719
global_step=2104 | return=-106.28 | steps=131 | track=e362d9da278d4b87540f8fd78948696f
global_step=2104 | return=-89.63 | steps=131 | track=171826a0677ca62edcb28a99cca42aab
global_step=2104 | return=-102.02 | steps=131 | track=2076f0bfd1e717f6367084187b35bc78
global_step=2136 | return=34.60 | steps=63 | track=85b306e8f8b937a5b7ef32d9cc70256b
global_step=2264 | return=-94.26 | steps=131 | track=5a3a81451ee8691d5b7189273dc0b712
global_step=2296 | return=-52.22 | steps=132 | track=909f544652f455430b011c11d37deb86
global_step=2704 | return=-40.32 | steps=140 | track=a461aee86929cb9913c85f4673499f4d
global_step=3048 | return=-66.08 | steps=117 | track=f3fa077f5f419be400f3bc9d701532c7
global_step=3160 | return=-108.81 | steps=131 | track=af890b3c11dbd9b8c2255d9a1d9d0a47
